ID,XMIN,XMAX,YMIN,YMAX,PNTCNT,XCTR,YCTR
91,589379.000000000000000,589879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,589629.00000,5205534.00000
92,589879.000000000000000,590379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,590129.00000,5205534.00000
93,590379.000000000000000,590879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,590629.00000,5205534.00000
94,590879.000000000000000,591379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,591129.00000,5205534.00000
95,591379.000000000000000,591879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,591629.00000,5205534.00000
96,591879.000000000000000,592379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,592129.00000,5205534.00000
97,592379.000000000000000,592879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,592629.00000,5205534.00000
98,592879.000000000000000,593379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,593129.00000,5205534.00000
99,593379.000000000000000,593879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,593629.00000,5205534.00000
100,593879.000000000000000,594379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,594129.00000,5205534.00000
101,594379.000000000000000,594879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,594629.00000,5205534.00000
102,594879.000000000000000,595379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,595129.00000,5205534.00000
103,595379.000000000000000,595879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,595629.00000,5205534.00000
104,595879.000000000000000,596379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,596129.00000,5205534.00000
105,596379.000000000000000,596879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,596629.00000,5205534.00000
106,596879.000000000000000,597379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,597129.00000,5205534.00000
107,597379.000000000000000,597879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,597629.00000,5205534.00000
108,597879.000000000000000,598379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,598129.00000,5205534.00000
109,598379.000000000000000,598879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,598629.00000,5205534.00000
110,598879.000000000000000,599379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,599129.00000,5205534.00000
111,599379.000000000000000,599879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,599629.00000,5205534.00000
112,599879.000000000000000,600379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,600129.00000,5205534.00000
113,600379.000000000000000,600879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,600629.00000,5205534.00000
114,600879.000000000000000,601379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,601129.00000,5205534.00000
115,601379.000000000000000,601879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,601629.00000,5205534.00000
116,601879.000000000000000,602379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,602129.00000,5205534.00000
117,602379.000000000000000,602879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,602629.00000,5205534.00000
118,602879.000000000000000,603379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,603129.00000,5205534.00000
119,603379.000000000000000,603879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,603629.00000,5205534.00000
120,603879.000000000000000,604379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,604129.00000,5205534.00000
121,604379.000000000000000,604879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,604629.00000,5205534.00000
122,604879.000000000000000,605379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,605129.00000,5205534.00000
123,605379.000000000000000,605879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,605629.00000,5205534.00000
124,605879.000000000000000,606379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,606129.00000,5205534.00000
125,606379.000000000000000,606879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,606629.00000,5205534.00000
126,606879.000000000000000,607379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,607129.00000,5205534.00000
127,607379.000000000000000,607879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,607629.00000,5205534.00000
128,607879.000000000000000,608379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,608129.00000,5205534.00000
129,608379.000000000000000,608879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,608629.00000,5205534.00000
130,608879.000000000000000,609379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,609129.00000,5205534.00000
131,609379.000000000000000,609879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,609629.00000,5205534.00000
132,609879.000000000000000,610379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,610129.00000,5205534.00000
133,610379.000000000000000,610879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,610629.00000,5205534.00000
134,610879.000000000000000,611379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,611129.00000,5205534.00000
135,611379.000000000000000,611879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,611629.00000,5205534.00000
136,611879.000000000000000,612379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,612129.00000,5205534.00000
137,612379.000000000000000,612879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,612629.00000,5205534.00000
138,612879.000000000000000,613379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,613129.00000,5205534.00000
139,613379.000000000000000,613879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,613629.00000,5205534.00000
140,613879.000000000000000,614379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,614129.00000,5205534.00000
141,614379.000000000000000,614879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,614629.00000,5205534.00000
142,614879.000000000000000,615379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,615129.00000,5205534.00000
143,615379.000000000000000,615879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,615629.00000,5205534.00000
144,615879.000000000000000,616379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,616129.00000,5205534.00000
145,616379.000000000000000,616879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,616629.00000,5205534.00000
146,616879.000000000000000,617379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,617129.00000,5205534.00000
147,617379.000000000000000,617879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,617629.00000,5205534.00000
148,617879.000000000000000,618379.000000000000000,5205284.000000000000000,5205784.000000000000000,0,618129.00000,5205534.00000
149,618379.000000000000000,618879.000000000000000,5205284.000000000000000,5205784.000000000000000,0,618629.00000,5205534.00000
150,581379.000000000000000,581879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,581629.00000,5205034.00000
151,581879.000000000000000,582379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,582129.00000,5205034.00000
